Channel1,Channel2,Channel3,Channel4,Channel5,Channel6,Channel7,Channel8
SPG11,C16orf72,IREB2,MAP2K1,CIB1,EIF5A,GREM1,PSTPIP1
GABPB1,ITGAX,SRRM2,ADPGK,SRRM2,PSMD11,RAB27A,TMED3
TMOD3,PHKB,IGSF6,PSTPIP1,LITAF,AP2B1,LACTB,ABHD2
AQP9,MT1F,YPEL3,TMED3,C16orf54,RARA,MEF2A,LITAF
ADPGK,HERPUD1,SNX20,BCL2A1,KIF22,VPS25,KIF22,IGSF6
SRRM2,TPPP3,MT2A,ABHD2,ITGAL,BECN1,ADCY7,YPEL3
IL32,STX8,MT1F,GFER,ITGAX,KANSL1-AS1,MT2A,TMEM170A
IGSF6,ALKBH5,MT1X,IGSF6,DNAJA2,CD300C,IST1,SLC43A2
YPEL3,AP2B1,TPPP3,SPNS1,SNX20,SOCS3,TMEM170A,PAFAH1B1
PYCARD,DDX52,IRF8,TMEM170A,MT1F,NARF,CMIP,CLEC10A
BRD7,NBR1,TRAPPC2L,CXCL16,IST1,SMCHD1,USP10,TMEM256
SNX20,KANSL1-AS1,SERPINF1,CLEC10A,TMEM170A,MBP,IRF8,TP53
CNOT1,SPOP,CXCL16,TTC19,CMIP,TXNL4A,PRPF8,STX8
CBFB,NACA2,MED31,AP2B1,IRF8,PTPRA,SERPINF1,GAS7
TRAPPC2L,HELZ,CLEC10A,DDX52,PRPF8,C20orf27,RNF167,TTC19
ANKRD11,GALK1,EVI2A,VPS25,TP53,PANK2,CLEC10A,UNC119
VPS25,RHBDF2,DDX52,KANSL1-AS1,STX8,ROMO1,EIF5A,KANSL1-AS1
MRPL27,SEC14L1,BECN1,MRPL27,NCOR1,PTPN1,STX8,PHB
RHBDF2,SOCS3,KANSL1-AS1,SRSF1,WSB1,ATP5D,DDX52,HELZ
SECTM1,EIF4A3,PHB,SKA2,SSH2,MOB3A,LASP1,EXOC7
PSMF1,SMCHD1,MRPL27,DCAF7,NBR1,PNPLA6,STAT3,SOCS3
SIRPB1,C20orf27,GALK1,RHBDF2,KANSL1-AS1,RETN,NMT1,CYTH1
PTPRA,ESF1,EXOC7,SOCS3,PHB,IL27RA,KANSL1-AS1,CSNK1D
GPCPD1,CST7,SOCS3,RNF213,UTP18,PKN1,NACA2,MPPE1
NXT1,EIF2S2,EIF4A3,CD7,NACA2,AP1M1,EXOC7,TCF4
RPN2,OSER1,RNF213,IMPA2,MIF4GD,EGLN2,RHBDF2,CNDP2
BLCAP,PIGT,C17orf62,RIOK3,SLC38A10,SNRNP70,SLC38A10,CSNK2A1
ZFAS1,DNAJC5,ESF1,PTPRA,CSNK1D,RRAS,MRPL12,PTPRA
PNPLA6,MKNK2,CST7,ESF1,NARF,VRK3,TXNL1,PHF20
RETN,PET100,CPNE1,XRN2,PTPN2,LILRA5,TXNL4A,RAB22A
AP1M1,POP4,TOP1,MAPRE1,TXNL1,LILRA4,ITPA,DNAJC5
COLGALT1,RRAS,DNAJC5,PPDPF,CSNK2A1,LILRB1,PRNP,TPGS1
ZNF90,LILRA5,TPGS1,R3HDM4,PTPRA,RPS4Y1,EIF2S2,MOB3A
POP4,LILRA1,PNPLA6,ATP5D,MKKS,EIF1AY,RPN2,PNPLA6
EGLN2,RPS4Y1,PET100,AP3D1,ESF1,IL17RA,BLCAP,DHPS
ARHGEF1,EIF1AY,PIN1,RETN,CST3,DDX17,RNF114,PRDX2
NOSIP,IL17RA,C19orf66,IL27RA,COMMD7,APOBEC3C,C19orf24,IL27RA
RRAS,SDF2L1,AP1M1,TPM4,CTSA,NAGA,MKNK2,PKN1
NDUFA3,APOL3,JAK3,JUND,CEBPB,NFAM1,PET100,PSENEN
MBOAT7,APOBEC3C,CEBPA,CEBPA,MIDN,CRELD2,RETN,CAPNS1
RPS4Y1,TSPO,CAPNS1,ZNF302,MOB3A,PIM3,C19orf66,PLAUR
IL17RA,PIM3,EGLN2,IGFLR1,AP3D1,PLXNB2,COLGALT1,PPP1R15A
DESI1,IL10RB,NDUFA3,PSENEN,PNPLA6,SCO2,CEBPA,RRAS
ODF3B,MX2,LILRB4,YIF1B,PET100,NDUFV3,UBA2,AP2A1
ETS2,,RPS4Y1,ARHGEF1,IL27RA,,FXYD5,ETFB
,,IL17RA,AP2A1,AP1M1,,KCNK6,FPR2
,,APOL6,FPR1,UBA2,,SERTAD3,MYADM
,,CSF2RB,LILRA1,ZNF302,,ARHGEF1,NDUFA3
,,POLR2F,LILRB4,KCNK6,,PLAUR,LILRA5
,,CBX6,RPS4Y1,FPR1,,PRMT1,RPS4Y1
,,APOBEC3C,EIF1AY,NDUFA3,,NKG7,NCF4
,,IL10RB,NCF4,LILRA2,,LILRA1,DDX17
,,ITGB2,CYTH4,LILRA1,,ZNF581,APOBEC3C
,,,PIM3,RPS4Y1,,RPS4Y1,DESI1
,,,UBE2G2,ZMAT5,,RRP7A,ETS2
,,,,NCF4,,CRELD2,MX2
,,,,MPST,,SAMSN1,UBE2G2
,,,,PHF5A,,IL10RB,FAM207A
,,,,DESI1,,ETS2,
,,,,NUP50,,MX2,
,,,,ETS2,,ITGB2,
,,,,PTTG1IP,,,
,,,,ITGB2,,,
