Cohort,Model,y_test,testresult
GSE185263,sNIP,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0]","[-2.79069958e-01 -1.28192892e-01 -1.65492124e-02 -7.69610605e-01
 -2.45885107e-01 -9.33666584e-02 -2.28450755e-01 -3.46365965e-02
  1.25580219e-02 -5.48347338e-01 -3.30835792e-02 -2.13994414e-01
 -4.00508779e-01 -1.82892969e-02 -5.63959415e-02 -4.75838850e-01
 -1.16627013e-01 -7.67083117e-01 -2.06185471e-01 -1.67955180e-01
 -8.94561730e-01 -1.51995993e+00 -5.24888308e-01 -4.26270236e-01
 -4.88777515e-01 -1.53139842e+00 -9.39017627e-02  2.47525695e-02
 -2.61884487e-01 -7.80189956e-01 -9.53487796e-01 -5.68135037e-01
 -9.79817197e-02 -1.39087434e+00 -7.53694801e-01 -6.14958961e-01
 -5.73436184e-02 -3.54427648e-01 -4.45549619e-01 -1.77237617e-01
 -1.01877016e-01 -1.88782479e-01 -2.98150859e-02 -1.63617397e-01
 -2.54884073e-01 -1.52033751e-01 -1.11895763e-01 -4.18104751e-01
 -4.98003370e-02 -4.85151767e-01 -1.40742773e-01 -3.95234934e-01
 -3.30194262e-01 -1.35183072e-01 -1.99805732e-01 -1.33447157e-01
 -1.32122189e+00 -2.34692663e-01 -1.55964644e-01 -7.22754313e-01
 -1.27689282e-01 -2.76772613e-01 -8.95535614e-02 -9.51852745e-02
 -2.91455366e-01 -6.96791114e-01 -2.72086218e-01 -1.13097454e+00
 -3.83455293e-01 -6.01035744e-02 -1.56364483e-01 -1.76172638e-01
 -2.48806578e-01 -4.63504872e-01 -4.59986204e-01 -7.92445568e-01
 -2.32978804e-01 -2.89736646e-01 -2.82390917e-01 -1.25173595e-01
 -1.31096680e-01 -2.36924129e-01 -2.87069851e-01 -6.61151035e-01
 -4.66556978e-01 -3.13532389e-01 -1.98805781e-01 -5.85266911e-02
 -5.60482739e-02 -1.77379379e-01 -2.20774979e-01 -2.68142611e-01
 -8.85394232e-01 -5.89069978e-01 -2.02729750e-01  2.81733369e-02
 -1.65289213e-01 -7.47253284e-02 -4.92973225e-01 -1.12490383e-02
 -1.62177147e-01 -2.32740671e-01 -5.50919999e-01 -1.97574992e-01
 -2.62270100e-03 -1.12584631e-02 -1.65831727e-01 -9.39785062e-02
 -4.28876163e-01 -4.14786623e-02 -4.30429819e-01 -2.23283403e-01
 -3.98869790e-02 -8.56981734e-03 -2.77372570e-01  7.82601679e-03
 -8.08606741e-02 -1.66012749e+00 -5.80792239e-01 -1.47045140e-01
 -4.35007287e-02 -1.67357649e-01 -3.55583733e-01 -8.27630639e-01
 -1.70365327e-01 -1.04586472e-02 -1.32062268e-01  6.28710350e-02
 -4.58334817e-02 -3.83364753e-01 -1.03663320e-01 -1.83240994e-01
 -7.51182687e-02 -6.23181616e-02 -4.05024037e-01 -8.36252702e-03
 -5.90789318e-01 -1.30102424e-01 -3.07570329e-01 -2.88998446e-01
  2.65743723e-02 -7.75591157e-03 -6.80507767e-02 -2.19571097e-02
 -4.93799824e-01 -1.40536315e+00 -2.15390464e-01 -6.99709981e-02
 -3.11158530e-01 -1.81694633e-01 -1.12143195e-02 -6.03026802e-01
 -5.04691012e-01 -2.72449760e-01 -4.53971787e-02  1.43059792e-02
 -7.94016110e-02 -2.80768330e+00 -9.56299567e-01 -2.01479462e-01
 -3.96610717e-01 -4.76154268e-02 -3.04547186e-01 -6.71492646e-02
 -2.59682997e-01 -4.51073134e-01 -1.24901635e-01 -2.51009977e-01
 -5.20078693e-02 -3.55803943e-02 -4.76099674e-01 -3.38868439e-01
 -4.43753045e-02 -1.66942088e-01 -1.29120710e+00 -2.51228798e+00
 -1.72250235e+00 -5.87573911e-01 -5.54309312e-01 -1.05053444e-01
  6.92947049e-03 -2.66207191e-02 -7.88772009e-02 -4.44491694e-01
 -1.39001394e-01 -5.96284378e-02  3.13684075e-01 -2.95731052e-01
 -4.60835077e-01 -1.93344982e-01 -2.05388335e-01 -1.02192548e-01
 -9.41089122e-02 -2.05191539e-01 -3.04497356e-01 -6.53381998e-01
 -1.81235038e-01 -2.53681778e-01 -6.00212926e-01 -2.02807755e-01
 -1.10970384e-01 -4.42807896e-01 -7.32130641e-01 -3.47686633e-01
 -1.72217413e-02 -1.10026292e-01 -8.70331190e-02 -1.51662713e-01
 -7.29473960e-02 -2.39240480e-02 -8.83561312e-01 -8.08324482e-02
  3.69526557e-02 -2.60688216e-01 -1.66214797e+00 -1.65942795e-02
 -2.12998817e-01 -3.68061405e-01 -3.64934717e-01 -1.88868233e-01
 -6.54321415e-02 -7.44116561e-01 -1.51942848e-02 -1.26488568e-01
 -1.03503694e-01 -5.91237052e-02 -5.07277548e-02 -2.06408590e-01
 -2.16276311e-01 -4.80262818e-02 -1.87532877e-02 -5.99735480e-01
 -9.72573729e-02 -9.78661012e-02 -1.07976151e+00 -1.05102429e-01
 -1.57083671e-01 -1.30434842e-01 -1.52647289e-01 -5.87908810e-03
 -7.50816450e-02 -3.98951339e-01 -2.93656096e-01 -2.85797644e+00
  8.77464620e-02 -6.83463177e-01 -7.54731722e-01 -8.86533102e-02
 -2.00182174e+00 -1.79251378e-01 -1.34103966e-02 -1.22525189e-01
 -6.40066219e-02 -5.46160336e-01 -7.24248179e-02 -1.49365840e-01
 -3.25220388e-01 -2.93676442e-01 -5.63577369e-01 -1.02445008e-01
 -3.34096533e-01 -9.58565189e-02  3.64275343e-02 -7.39816036e-01
 -2.76959174e-01 -1.25846826e-01 -1.30846826e+00 -9.26377845e-01
 -1.45943563e+00 -9.88213140e-01 -1.43387257e+00 -1.53660513e+00
 -6.87236739e-01 -8.98434161e-01 -1.15585039e+00 -1.78338606e+00
 -3.83024802e-01 -3.71340714e-01 -1.75074674e+00 -8.08755963e-01
 -5.38326149e-01 -1.28453397e+00 -9.12274673e-01 -1.39676975e+00
 -4.82924305e-01 -4.76387421e-01 -1.13149635e+00 -9.55041409e-01
 -1.27156630e+00 -7.38580109e-01 -9.62237623e-01 -1.72022221e+00
 -1.32709370e+00 -9.61638924e-01 -1.13419051e+00 -7.59336314e-01
 -5.33440204e-01 -8.89964946e-01 -8.06404492e-01 -1.25392580e+00
 -1.18945450e+00 -3.14777733e+00 -1.60473770e+00 -1.10768636e+00
 -8.10092610e-01 -2.66107050e-01 -6.71075724e-01 -1.93641589e-01
 -1.78788601e+00 -4.79420026e-01 -2.43072161e-01 -4.12829329e-03
 -7.70868718e-01  3.36173843e-02 -2.61734187e-01 -1.11524992e+00
 -1.45198117e-01 -3.24054399e-01  2.10666430e-02 -1.76596146e+00
 -1.34400213e+00 -1.49151768e-01 -4.01040188e-03 -1.63339254e-01
 -4.24881720e-01 -1.29376014e-01  2.32011269e-02 -4.82159571e-04
 -3.28761282e+00  6.33555868e-02 -5.27917564e-01 -2.86162812e-01
 -7.43514523e-01 -1.95583467e+00 -8.50692108e-01 -7.56244834e-01
 -1.11092381e-01  1.79612283e-01 -7.98410696e-01 -6.57409383e-01
 -4.01805225e-01 -7.78060298e-03 -4.79612855e+00 -4.25126656e+00
 -2.61834076e+00 -3.50505757e-01 -1.41071600e-01 -1.03064141e+00
 -1.25257680e+00 -8.56359902e-01 -6.49684067e+00 -3.51017377e-01
 -2.60185854e-02  3.24356896e-02 -1.62855026e-01 -3.15693622e-01
 -1.50669798e+00 -8.09323061e-01 -2.67887934e+00 -7.31938773e-02
 -1.02575470e-01 -1.73749088e-02  4.48966652e-02 -1.19633575e+00
 -6.58400784e-01 -9.52575538e-01  6.81921731e-02 -1.43401210e+00
 -5.71018683e-01 -1.21712781e+00 -2.79893987e-01 -1.19147327e-01
 -4.72516461e+00 -1.19825674e+01 -5.21126493e-01 -5.35262890e-01
 -1.87830988e-01 -3.47624330e+00 -4.89785643e+00 -3.53100497e-01
 -2.90456250e+00 -3.68358615e+00 -2.45074751e-01 -2.22531271e-01
 -1.05540542e+00 -4.65969823e-01 -5.00854511e-01 -1.77148139e+00
 -1.88621093e+00 -1.87875821e+00 -1.86913798e+00 -1.18596839e+00]"
GSE4607,CaT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.016467458, 0.00610318, 0.017789328, 0.008801416, 0.4997876, 0.0011784829, 0.01065804, 0.11198494, 0.009553397, 0.03942495, 0.0006368804, 0.0021095371, 0.0004300044, 0.0004398769, 0.013340352, 0.9995735, 0.99969923, 0.998722, 0.9996939, 0.98708946, 0.9996306, 0.9779912, 0.9991881, 0.99949515, 0.99972695, 0.9997271, 0.9980775, 0.9995759, 0.9973912, 0.9995284, 0.99864393, 0.9228872, 0.99942756, 0.9493439, 0.986521, 0.9993637, 0.8922378, 0.99433386, 0.9993174, 0.99965453, 0.9997806, 0.8581474, 0.99972767, 0.9997495, 0.99656373, 0.9990711, 0.9974172, 0.9896429, 0.9996495, 0.9992828, 0.9991658, 0.9996575, 0.99939513, 0.9995815, 0.99856734, 0.9927878, 0.9937046, 0.96122557, 0.9996736, 0.8911649, 0.96609014, 0.9985379, 0.99899346, 0.999534, 0.9993556, 0.99280965, 0.9973635, 0.99937207, 0.9995989, 0.999605, 0.9798978, 0.9862083, 0.074522614, 0.98929054, 0.9717389, 0.99271727, 0.96708196, 0.98395556, 0.99791974, 0.75905114, 0.99590945, 0.9950177, 0.92263913, 0.99307996, 0.0006707981, 0.99957794, 0.99958307, 0.99924374, 0.99963033, 0.9967986, 0.9984688, 0.99957186, 0.98569566, 0.99050856, 0.9972114, 0.99117154, 0.95940185, 0.999038, 0.99958414, 0.026565535, 0.93246186, 0.99957997, 0.99225605, 0.9953068, 0.59542054, 0.98289317, 0.9991346, 0.9475636, 0.9992204, 0.9996208, 0.9966875, 0.9978961, 0.9966714, 0.99954623, 0.9990773, 0.9934104, 0.31325856, 0.5970572, 0.9997073, 0.9905799, 0.98924327, 0.99902546, 0.9989003]"
GSE8121,CaT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.027734289, 0.026934873, 0.027492005, 0.028017906, 0.057709724, 0.026484566, 0.036815204, 0.03256067, 0.0241404, 0.029710878, 0.026338808, 0.031166565, 0.017473958, 0.017691728, 0.035105973, 0.9999858, 0.99998474, 0.94784397, 0.9997172, 0.048818007, 0.9994873, 0.9999881, 0.70579356, 0.99210525, 0.99990416, 0.13371061, 0.96941704, 0.20212068, 0.03778528, 0.19342183, 0.99997103, 0.9921113, 0.8230145, 0.99998176, 0.97104406, 0.9996253, 0.04485542, 0.19762698, 0.9997267, 0.9961235, 0.06552012, 0.13306835, 0.32055205, 0.17238055, 0.61904126, 0.99980706, 0.9998909, 0.6017469, 0.9999192, 0.040155932, 0.99928623, 0.9999869, 0.9174647, 0.0678117, 0.9988657, 0.53452075, 0.8216038, 0.034661468, 0.9999232, 0.029605797, 0.99240524, 0.8684751, 0.99995756, 0.9997718, 0.25774357, 0.9999218, 0.04946033, 0.4089746, 0.9998155, 0.043854047, 0.0818245, 0.06131667, 0.035499822, 0.51995325, 0.23430558]"
GSE9692,CaT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]","[0.12570997, 0.06175387, 0.9999795, 0.9720444, 0.93618447, 0.19832636, 0.999964, 0.017224, 0.24136662, 0.20318224, 0.99990773, 0.99919933, 0.99873024, 0.952095, 0.9614793, 0.9998416, 0.9999646, 0.8847507, 0.99999475, 0.9353761, 0.99784863, 0.03305373, 0.017474107, 0.016642457, 0.030428758, 0.02663802, 0.030759666, 0.023690771, 0.03266268, 0.03815061, 0.027782565, 0.06420002, 0.06171262, 0.99814963, 0.10828466, 0.92333263, 0.99984753, 0.22115374, 0.17001225, 0.96229684, 0.028207447, 0.02712301, 0.026960311, 0.027348911, 0.12652119]"
GSE13904,CaT,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.02897917, 0.03248768, 0.022747518, 0.03296969, 0.017852617, 0.015972195, 0.031297673, 0.027456637, 0.031796586, 0.02435546, 0.032333013, 0.03579205, 0.027399067, 0.078829974, 0.027451253, 0.02922976, 0.028344179, 0.028335247, 0.24886695, 0.99998283, 0.88472736, 0.9851112, 0.06893132, 0.99964, 0.5504963, 0.9998758, 0.9990472, 0.11241871, 0.2787452, 0.10000828, 0.07781376, 0.95643747, 0.84769773, 0.65658414, 0.93043876, 0.93744975, 0.39358696, 0.9974261, 0.05789746, 0.061856437, 0.4806724, 0.99636805, 0.2717259, 0.050176196, 0.8966392, 0.99996984, 0.077600844, 0.8908468, 0.015486888, 0.9999939, 0.07812349, 0.03759289, 0.7586764, 0.061229944, 0.5911497, 0.8407848, 0.044759564, 0.039690323, 0.9952383, 0.931669, 0.9994128, 0.065798536, 0.034399737, 0.9978179, 0.055519123, 0.03965401, 0.32171482, 0.9951391, 0.020354683, 0.039237514]"
GSE26378,CaT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.9984535, 0.9901484, 0.99950695, 0.98993987, 0.9993938, 0.9964786, 0.9118617, 0.9968213, 0.33413365, 0.9997137, 0.99945563, 0.9595959, 0.99951744, 0.004878292, 0.036916543, 0.0007377635, 0.01096996, 0.10599537, 0.9994462, 0.9471779, 0.99271774, 0.99610484, 0.997077, 0.99618137, 0.99817264, 0.9935174, 0.99134773, 0.99715614, 0.99873096, 0.9990983, 0.017776985, 0.002000658, 0.009515688, 0.0005942363, 0.017279062, 0.10573017, 0.9993789, 0.998078, 0.99919266, 0.999308, 0.99728274, 0.8705141, 0.9981337, 0.9990395, 0.940362, 0.9952755, 0.99792635, 0.998071, 0.9994301, 0.9989428, 0.98992413, 0.99795294, 0.9619348, 0.8290463, 0.0065231547, 0.94429034, 0.9974638, 0.99839044, 0.9988136, 0.9982926, 0.96383744, 0.35790703, 0.9736182, 0.046452705, 0.9971831, 0.99705386, 0.99640095, 0.99901414, 0.94490963, 0.9861244, 0.99850094, 0.9952815, 0.99976414, 0.77971774, 0.9996278, 0.9989893, 0.98935217, 0.0062958687, 0.0070599434, 0.9996246, 0.999589, 0.42649364, 0.6277885, 0.9887476, 0.18561086, 0.0012372443, 0.27071512, 0.9991756, 0.009613392, 0.0032493519, 0.0020385387, 0.042986486, 0.9995939, 0.99925345, 0.9986356, 0.99935764, 0.96309614, 0.9994412, 0.99500245, 0.88712114, 0.7227566, 0.9990308, 0.98325825]"
GSE28750,CaT,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.9786122, 0.97637355, 0.99970067, 0.9998741, 0.9997693, 0.9997254, 0.9998204, 0.99769455, 0.9994646, 0.99179286, 0.0532476, 0.28273997, 0.044870183, 0.0152662955, 0.14202623, 0.024792476, 0.0034144188, 0.4621517, 0.07821473, 0.268953, 0.04541375, 0.028797388, 0.005198474, 0.09213218, 0.06091629, 0.033960197, 0.0665708, 0.39079446, 0.1936343, 0.19186062]"
GSE4607,K-Nearest Neighbors,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
GSE8121,K-Nearest Neighbors,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
GSE9692,K-Nearest Neighbors,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
GSE13904,K-Nearest Neighbors,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
GSE26378,K-Nearest Neighbors,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1]"
GSE28750,K-Nearest Neighbors,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
GSE4607,DecisionTree,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]"
GSE8121,DecisionTree,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
GSE9692,DecisionTree,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
