,0
673,RFC1
674,RPL9
675,UBE2K
676,PDS5A
677,RBM47
678,TMEM33
679,COMMD8
680,FRYL
681,OCIAD2
682,CHIC2
683,TMEM165
684,EXOC1
685,SRP72
686,HOPX
687,REST
688,POLR2B
689,IGFBP7
690,YTHDC1
691,DCK
692,G3BP2
693,USO1
694,NAAA
695,SCARB2
696,CCNI
697,CCNG2
698,HNRNPD
699,HNRNPDL
700,SEC31A
701,PLAC8
702,MRPS18C
703,HSD17B11
704,PPM1K
705,PDLIM5
706,EIF4E
707,ADH5
708,DAPP1
709,LAMTOR3
710,DNAJB14
711,H2AFZ
712,NFKB1
713,MANBA
714,UBE2D3
715,CISD2
716,TET2
717,PPA2
718,AIMP1
719,PAPSS1
720,RPL34
721,CCDC109B
722,LARP7
723,C4orf3
724,ANXA5
725,ELF2
726,NDUFC1
727,MGST2
728,ZNF330
729,SMARCA5
730,LSM6
731,SH3D19
732,TMEM154
733,TLR2
734,FAM198B
735,PPID
736,TMA16
737,MARCH1
738,HMGB2
739,SPCS3
740,RWDD4
741,IRF2
742,ACSL1
743,PDCD6
744,MRPL36
745,NDUFS6
746,CCT5
747,MARCH6
748,DAP
749,BASP1
750,GOLPH3
751,ZFR
752,SUB1
753,DNAJC21
754,IL7R
755,NIPBL
756,FYB
757,PTGER4
758,RPL37
759,ANXA2R
760,EMB
761,SNX18
762,GZMA
763,DHX29
764,MAP3K1
765,GPBP1
766,GAPT
767,SMIM15
768,KIF2A
769,SREK1IP1
770,ERBB2IP
771,MRPS36
772,NAIP
773,BDP1
774,BTF3
775,HEXB
776,NSA2
777,COL4A3BP
778,POLK
779,IQGAP2
780,AGGF1
781,TBCA
782,AP3B1
783,PAPD4
784,ATG10
785,RPS23
786,TMEM167A
787,VCAN
788,COX7C
789,CCNH
790,MEF2C
791,TTC37
792,GLRX
793,CAST
794,LNPEP
795,CHD1
796,ST8SIA4
797,PPIP5K2
798,PJA2
799,EPB41L4A-AS1
800,SRP19
801,REEP5
802,DCP2
803,ATG12
804,AP3S1
805,COMMD10
806,SNX2
807,HINT1
808,CDC42SE2
809,FNIP1
810,IRF1
811,UQCRQ
812,ZCCHC10
813,HSPA4
814,VDAC1
815,PPP2CA
816,UBE2B
817,SAR1B
818,CAMLG
819,DDX46
820,C5orf24
821,TXNDC15
822,H2AFY
823,TGFBI
824,HNRNPA0
825,EGR1
826,ETF1
827,CTNNA1
828,PAIP2
829,MZB1
830,TMEM173
831,UBE2D2
832,CXXC5
833,CYSTM1
834,PFDN1
835,SRA1
836,CD14
837,NDUFA2
838,ZMAT2
839,TAF7
840,DIAPH1
841,NDFIP1
842,ARHGAP26
843,NR3C1
844,CSNK1A1
845,CSF1R
846,CD74
847,RPS14
848,TNIP1
849,ANXA6
850,CCDC69
851,ATOX1
852,LARP1
853,CYFIP2
854,CLINT1
855,RNF145
856,UBLCP1
857,TTC1
858,RARS
859,DOCK2
860,LCP2
861,NPM1
862,STK10
